brand,model,category,price_inr,engine_cc,power_bhp,torque_nm,seat_height_mm,weight_kg,ground_clearance_mm,fuel_tank_l,mileage_kmpl,top_speed_kmph,riding_posture,beginner_friendly,city_score,highway_score,touring_score,offroad_score,pillion_comfort_score,maintenance_score,overall_score,effective_seat_height_score,recommended_min_height_cm,price_segment,ownership_difficulty
Yamaha,R15 V4,Sports Bike,171982,155,18.1,14.2,815,141,170,11,46,140,Aggressive,4,5,9,5,1,4,6,9,9,155,Executive Tier,Medium
KTM,RC 200,Sports Bike,224287,199.5,24.6,19.2,835,160,158,13.7,43.5,140,Aggressive,4,5,8,5,1,4,6,8,7,165,Executive Tier,Medium
KTM,RC 390,Sports Bike,323497,373.27,42.9,37,835,172,153,13.7,29,160,Aggressive,4,5,8,5,1,4,6,8,7,165,Premium Tier,Medium
TVS,Apache RR 310,Sports Bike,262271,312.2,37.54,29,810,174,180,11,34.7,160,Aggressive,4,5,8,5,1,4,6,8,8,160,Premium Tier,Medium
Aprilia,RS 457,Sports Bike,422019,457,46.9,43.5,800,175,165,13,24,190,Aggressive,4,5,8,5,1,4,6,8,9,155,Premium Tier,Medium
Kawasaki,Ninja 300,Sports Bike,317000,296,38.88,26.1,780,179,140,17,26,160,Aggressive,4,5,8,5,1,4,6,8,10,150,Premium Tier,Medium
Kawasaki,Ninja 500,Sports Bike,565976,451,44.7,42.6,785,171,145,14,21,190,Aggressive,4,5,8,5,1,4,6,8,10,150,Super Tier,Medium
Kawasaki,Z650,Sports Bike,725960,649,67.31,64,790,191,130,15,27,201,Aggressive,4,5,8,5,1,4,6,8,10,150,Super Tier,Medium
Kawasaki,ZX-6R,Sports Bike,1248948,636,122.02,69,830,198,130,17,21.5,250,Aggressive,4,5,8,5,1,4,6,8,7,165,Super Tier,Hard
Kawasaki,ZX-10R,Sports Bike,2079000,998,193,112,835,207,135,17,25,299,Aggressive,4,5,8,5,1,4,6,8,7,165,Super Tier,Hard
Suzuki,Gixxer SF 250,Sports Bike,192349,249,26.13,22.2,800,161,165,12,35,150,Aggressive,4,5,8,5,1,4,6,8,9,155,Executive Tier,Medium
BMW,G 310 RR,Sports Bike,289994,312.12,33.5,27.3,811,174,180,11,30,160,Aggressive,4,5,8,5,1,4,6,8,8,160,Premium Tier,Medium
Royal Enfield,Meteor 350,Cruiser,198646,349.34,20.2,27,765,191,170,15,32,160,Relaxed,7,6,8,8,1,8,6,8,10,145,Executive Tier,Medium
Royal Enfield,Super Meteor 650,Cruiser,402945,648,46.3,52.3,740,241,135,15.7,23.7,150,Relaxed,7,6,8,8,1,8,6,8,10,145,Premium Tier,Medium
Royal Enfield,Hunter 350,Cruiser,137648,349.34,20.2,27,790,181,160,13,36.2,130,Relaxed,9,9,7,6,1,7,6,9,10,145,Mass Tier,Medium
Jawa,42 Bobber,Cruiser,195313,334,29.51,32.74,740,185,145,12.5,30,130,Relaxed,7,6,8,8,1,8,6,8,10,150,Executive Tier,Medium
Harley-Davidson,X440,Cruiser,235016,440,27,38,805,190.5,170,13.5,35,135,Relaxed,7,6,8,8,1,8,6,8,9,155,Executive Tier,Medium
TVS,Ronin,Cruiser,128731,225.9,20.1,19.93,795,159,181,14,42,120,Relaxed,10,10,8,7,1,8,8,9,10,150,Mass Tier,Easy
Bajaj,Avenger Street 160,Cruiser,130663,220,18.76,17.55,737,160,169,13,40,120,Relaxed,7,6,8,8,1,8,6,8,10,150,Mass Tier,Medium
Honda,Hness CB350,Cruiser,193117,348.36,20.78,30,800,181,166,15,35,125,Relaxed,7,6,8,8,1,8,6,8,9,155,Executive Tier,Medium
Royal Enfield,Interceptor 650,Cruiser,334987,648,47,52,804,218,174,13.7,23,169,Relaxed,7,6,8,8,1,8,6,8,9,155,Premium Tier,Medium
Royal Enfield,Guerrilla 450,Cruiser,249194,452,39.47,40,780,185,169,11,28,140,Relaxed,7,6,8,8,1,8,6,8,10,150,Executive Tier,Medium
BSA,Gold Star 650,Cruiser,337190,652,45.6,55,782,201,150,12,26,160,Relaxed,7,6,8,8,1,8,6,8,10,150,Premium Tier,Medium
Royal Enfield,Goan Classic 350,Cruiser,223632,349,20.2,27,750,197,170,13,36.2,105,Relaxed,7,6,8,8,1,8,6,8,10,145,Executive Tier,Medium
Hero,Splendor Plus,Commuter,76957,97.2,7.91,8.05,785,112,165,9.8,62,87,Upright,10,10,5,4,1,8,9,8,10,150,Mass Tier,Easy
Hero,Xtreme 125R,Commuter,92843,124.7,11.4,10.5,794,136,180,10,66,100,Upright,10,10,5,4,1,8,9,8,9,155,Mass Tier,Medium
Hero,Glamour,Commuter,84925,124.7,10.39,10.4,790,121.3,170,10,65,95,Upright,10,10,5,4,1,8,9,8,10,150,Mass Tier,Easy
Yamaha,FZ X Hybrid,Commuter,143352,149,12.2,13.3,810,141,165,10,51,115,Upright,10,10,5,4,1,8,9,8,8,160,Mass Tier,Medium
TVS,Apache RTR 160,Commuter,109971,159.7,15.82,13.85,790,137,180,12,61,107,Upright,10,10,5,4,1,8,9,8,10,150,Mass Tier,Medium
Honda,SP125,Commuter,89406,123.94,10.72,10.9,790,116,160,11,63,100,Upright,10,10,5,4,1,8,9,8,10,150,Mass Tier,Easy
Honda,Unicorn,Commuter,113613,162.71,13,14.48,798,139,187,13,50,106,Upright,10,10,5,4,1,8,9,8,9,155,Mass Tier,Easy
TVS,Raider 125,Commuter,85344,124.8,11.2,11.2,780,123,180,10,56.7,99,Upright,10,10,5,4,1,8,9,8,10,150,Mass Tier,Easy
TVS,Radeon,Commuter,73346,109.7,8.08,8.7,780,113,180,10,63,90,Upright,10,10,5,4,1,8,9,8,10,150,Mass Tier,Easy
TVS,Star City Plus,Commuter,72022,109.7,8.08,8.7,785,115,172,10,70,90,Upright,10,10,5,4,1,8,9,8,10,150,Mass Tier,Easy
Bajaj,Platina 110,Commuter,73123,115.45,8.48,9.81,807,119,200,11,70,90,Upright,10,10,5,4,1,8,9,8,8,160,Mass Tier,Easy
Bajaj,Pulsar N125,Commuter,93695,124.58,11.83,11,795,125,198,9.5,60,100,Upright,10,10,5,4,1,8,9,8,9,155,Mass Tier,Medium
KTM,Duke 200,Street Bike,191570,199.5,24.67,19.3,822,159,155,13.4,35,140,Slight Forward,8,9,7,6,2,6,7,8,7,165,Executive Tier,Medium
KTM,Duke 250,Street Bike,220871,249.07,30.57,25,800,162.8,176,15,31,148,Slight Forward,8,9,7,6,2,6,7,8,9,155,Executive Tier,Medium
Bajaj,Dominar 400,Street Bike,204511,349.13,40.04,33.2,800,190,157,13,30,155,Slight Forward,8,9,7,6,2,6,7,8,9,155,Executive Tier,Medium
Yamaha,MT-15 V2,Street Bike,163798,155,18.1,14.1,810,141,170,10,47,130,Slight Forward,9,10,7,6,2,6,7,9,9,155,Executive Tier,Easy
TVS,Apache RTR 160,Street Bike,109971,159.7,15.82,13.85,790,137,180,12,61,107,Slight Forward,8,9,7,6,2,6,7,8,10,150,Mass Tier,Medium
TVS,Apache RTR 310,Street Bike,225280,312.12,35.08,28.7,800,169,180,11,30,150,Slight Forward,8,9,7,6,2,6,7,8,9,155,Executive Tier,Medium
Bajaj,Pulsar N160,Street Bike,116504,164.28,15.68,14.65,795,148,165,14,51.6,120,Slight Forward,8,9,7,6,2,6,7,8,9,155,Mass Tier,Medium
Hero,Xtreme 250R,Street Bike,172525,249.03,29.5,25,806,167.7,167,11.5,36,130,Slight Forward,8,9,7,6,2,6,7,8,8,160,Executive Tier,Medium
